COL6A3_UP	91	132	0.40	120	0.37	0.91	Y	0.00000
COL7A1_UP	75	1	0.00	1	0.00	1.00	N	1.00000
COL8A2_UP	70	7	0.02	1	0.00	0.14	N	0.88800
COL9A1_UP	76	6	0.02	3	0.01	0.50	N	0.49400
COL9A2_UP	73	5	0.02	3	0.01	0.60	N	0.24000
COL9A3_UP	73	39	0.12	22	0.07	0.56	N	0.00600
COMP_UP	36	3	0.01	3	0.01	1.00	N	0.95800
COPZ2_UP	5	51	0.16	1	0.00	0.02	N	0.68400
CORO1A_UP	28	1	0.00	1	0.00	1.00	N	0.93800
CORO2A_UP	3	6	0.02	2	0.01	0.33	N	0.34200
COTL1_UP	1	88	0.27	2	0.01	0.02	N	0.10600
CP_UP	4	109	0.33	30	0.09	0.28	N	0.45600
CPA3_UP	5	19	0.06	3	0.01	0.16	N	0.81200
CPB2_UP	9	4	0.01	3	0.01	0.75	N	0.93400
CPD_UP	1	19	0.06	1	0.00	0.05	N	1.00000
CPS1_UP	4	23	0.07	1	0.00	0.04	N	0.50600
CR2_UP	5	2	0.01	2	0.01	1.00	N	0.02000
CREB3L2_UP	10	62	0.19	20	0.06	0.32	Y	0.00000
CRIP1_UP	1	49	0.15	1	0.00	0.02	N	0.83000
CRLF3_UP	4	2	0.01	1	0.00	0.50	N	0.56400
CRY1_UP	9	53	0.16	14	0.04	0.26	N	0.21000
CSF1R_UP	24	32	0.10	5	0.02	0.16	N	0.17800
CSF2RB_UP	59	31	0.09	27	0.08	0.87	N	0.55200
CSK_UP	128	2	0.01	2	0.01	1.00	N	0.92800
CSNK1D_UP	151	2	0.01	2	0.01	1.00	N	0.94600
CSPG4_UP	1	32	0.10	6	0.02	0.19	N	0.27800
CSRP2_UP	2	274	0.84	1	0.00	0.00	N	0.95600
CST7_UP	3	6	0.02	1	0.00	0.17	N	0.96600
CSTA_UP	10	128	0.39	43	0.13	0.34	N	0.05600
CSTB_UP	6	2	0.01	2	0.01	1.00	N	0.93000
CSTF1_UP	108	1	0.00	1	0.00	1.00	N	0.95200
CTDSP2_UP	4	25	0.08	3	0.01	0.12	N	0.04800
CTGF_UP	17	40	0.12	26	0.08	0.65	N	0.17600
CTNNAL1_UP	102	55	0.17	34	0.10	0.62	N	0.00400
CTNND1_UP	43	15	0.05	9	0.03	0.60	N	0.32200
CTPS_UP	11	6	0.02	1	0.00	0.17	N	0.26200
CTSB_UP	25	5	0.02	4	0.01	0.80	N	0.99400
CTSC_UP	2	221	0.67	20	0.06	0.09	N	0.96000
CTSD_UP	15	19	0.06	7	0.02	0.37	N	0.99000
CTSH_UP	2	5	0.02	3	0.01	0.60	N	0.88800
CTSK_UP	9	81	0.25	33	0.10	0.41	N	0.12200
CTSL1_UP	21	22	0.07	18	0.05	0.82	N	0.99600
CTSL2_UP	5	15	0.05	2	0.01	0.13	N	0.29200
CTSS_UP	18	188	0.57	95	0.29	0.51	N	0.48400
CTTN_UP	48	1	0.00	1	0.00	1.00	N	0.97400
CUBN_UP	7	2	0.01	2	0.01	1.00	N	0.69200
CUGBP1_UP	4	4	0.01	1	0.00	0.25	N	0.93600
CUL4A_UP	13	7	0.02	6	0.02	0.86	N	0.70800
CUL4B_UP	11	7	0.02	2	0.01	0.29	N	1.00000
CXCL1_UP	43	31	0.09	1	0.00	0.03	N	0.99400
CXCL10_UP	35	144	0.44	22	0.07	0.15	N	0.99400
CXCL11_UP	35	52	0.16	10	0.03	0.19	N	0.95600
CXCL12_UP	85	14	0.04	13	0.04	0.93	N	0.52400
CXCL13_UP	8	29	0.09	2	0.01	0.07	N	0.74400
CXCL2_UP	30	44	0.13	1	0.00	0.02	N	0.99800
CXCL3_UP	30	25	0.08	1	0.00	0.04	N	0.97200
CXCL6_UP	28	19	0.06	10	0.03	0.53	N	0.96800
CXCL9_UP	36	57	0.17	16	0.05	0.28	N	0.49000
CXCR4_UP	98	208	0.63	164	0.50	0.79	N	0.04400
CXCR7_UP	27	187	0.57	22	0.07	0.12	N	0.94400
CYB5A_UP	3	17	0.05	2	0.01	0.12	N	0.05400
CYBA_UP	16	102	0.31	72	0.22	0.71	N	0.44600
CYBB_UP	22	55	0.17	51	0.16	0.93	N	0.38000
CYP27B1_UP	1	22	0.07	1	0.00	0.05	N	0.19600
